statement,period,date,description,amount,direction,category,subcategory,note
136,2026-06-17..2026-07-17,2026-06-23,Prepaid Electricity 09001505313,500.00,Dr,Home & Utilities,Electricity,
136,2026-06-17..2026-07-17,2026-06-25,FNB App Transfer To Credit Card,37000.00,Dr,Credit Card Payments,Credit card,Large lump-sum paydown
136,2026-06-17..2026-07-17,2026-06-25,FNB App Payment From Salary,70000.00,Cr,Income,Salary,
136,2026-06-17..2026-07-17,2026-06-25,DebiCheck FNB Connect 8872638615,579.00,Dr,Connectivity & Subscriptions,FNB Connect,
136,2026-06-17..2026-07-17,2026-06-25,DebiCheck FNB Credit Card Dcre880713,990.47,Dr,Credit Card Payments,Credit card minimum,
136,2026-06-17..2026-07-17,2026-06-25,Internal D/O FNB Life Fl105Gz98,4106.61,Dr,Insurance & Medical,FNB Life,
136,2026-06-17..2026-07-17,2026-06-27,POS Purchase Yoco Innovation,22.00,Dr,Groceries & Eating Out,Eating out,
136,2026-06-17..2026-07-17,2026-06-27,POS Purchase Yoco SE Supermarket,36.00,Dr,Groceries & Eating Out,Groceries,
136,2026-06-17..2026-07-17,2026-06-27,POS Purchase Yoco SE Supermarket,234.00,Dr,Groceries & Eating Out,Groceries,
136,2026-06-17..2026-07-17,2026-06-27,Scheduled Trf To Savings,9000.00,Dr,Savings & Investments,Savings transfer,
136,2026-06-17..2026-07-17,2026-06-27,Byc Debit 63026278118,0.86,Dr,Bank Charges & Interest,Misc bank debit,
136,2026-06-17..2026-07-17,2026-06-30,Service Charges From 62724872339,100.05,Dr,Bank Charges & Interest,Linked acct charges,
136,2026-06-17..2026-07-17,2026-06-30,Prepaid Electricity 09001505313,500.00,Dr,Home & Utilities,Electricity,
136,2026-06-17..2026-07-17,2026-06-30,Magtape Credit Discovery Membership,6245.62,Cr,Income,Discovery refund,
136,2026-06-17..2026-07-17,2026-06-30,DebiCheck FNB Home 3000017271,69.00,Dr,Debt & Loans,Home loan admin fee,
136,2026-06-17..2026-07-17,2026-06-30,Internal D/O WesBank Vehicle Finance,5749.60,Dr,Debt & Loans,WesBank vehicle finance,
136,2026-06-17..2026-07-17,2026-06-30,Internal D/O FNB Structured Loan,21828.65,Dr,Debt & Loans,FNB Structured Loan,
136,2026-06-17..2026-07-17,2026-07-01,DebiCheck FNB Connect 8858332521,499.00,Dr,Connectivity & Subscriptions,FNB Connect,
136,2026-06-17..2026-07-17,2026-07-01,DebiCheck FNB Connect 8858332324,749.00,Dr,Connectivity & Subscriptions,FNB Connect,
136,2026-06-17..2026-07-17,2026-07-01,Hybrid Subscription Fee Connect Topup,145.00,Dr,Connectivity & Subscriptions,Connect top-up,
136,2026-06-17..2026-07-17,2026-07-01,Hybrid Subscription Fee Connect Topup,415.00,Dr,Connectivity & Subscriptions,Connect top-up,
136,2026-06-17..2026-07-17,2026-07-01,Internal D/O FNB Life Fl68Zw53,33.58,Dr,Insurance & Medical,FNB Life (small policy),
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit Stratum (Netcash),390.00,Dr,Connectivity & Subscriptions,Stratum,
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit RSAWEB (Netcash),1299.00,Dr,Connectivity & Subscriptions,RSAWEB fibre 1,
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit RSAWEB (Netcash),1728.01,Dr,Connectivity & Subscriptions,RSAWEB fibre 2,
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit Discovery Premium,7578.00,Dr,Insurance & Medical,Discovery premium,
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit Netstar,231.38,Dr,Insurance & Medical,Vehicle tracking,
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit Edgekloof Kl17057,399.00,Dr,Home & Utilities,Edgekloof levy,
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit FWT Ri-3787862,3006.22,Dr,Savings & Investments,EasyEquities TFSA,Tax-free savings account contribution
136,2026-06-17..2026-07-17,2026-07-01,Magtape Debit JAC U260716666,3836.27,Dr,Insurance & Medical,JAC insurance,Insurance premium
136,2026-06-17..2026-07-17,2026-07-02,Airtime Topup 27745894636,189.00,Dr,Connectivity & Subscriptions,Airtime,
136,2026-06-17..2026-07-17,2026-07-03,POS Purchase Woolworths,54.99,Dr,Groceries & Eating Out,Groceries,
136,2026-06-17..2026-07-17,2026-07-04,POS Purchase Yoco SE Supermarket,36.00,Dr,Groceries & Eating Out,Groceries,
136,2026-06-17..2026-07-17,2026-07-04,Byc Debit 63026278118,0.01,Dr,Bank Charges & Interest,Misc bank debit,
136,2026-06-17..2026-07-17,2026-07-09,FNB App Payment To Baby Mama,6245.62,Dr,Family Support,Child/family support,Exactly matches the Discovery refund received 30 Jun
136,2026-06-17..2026-07-17,2026-07-09,FNB App Transfer To Credit Card,2300.00,Dr,Credit Card Payments,Credit card,
136,2026-06-17..2026-07-17,2026-07-10,POS Purchase Yoco Innovation,57.20,Dr,Groceries & Eating Out,Eating out,
136,2026-06-17..2026-07-17,2026-07-11,Byc Debit 63026278118,0.80,Dr,Bank Charges & Interest,Misc bank debit,
136,2026-06-17..2026-07-17,2026-07-14,POS Purchase Better Pets,377.00,Dr,Shopping & Other,Pets,
136,2026-06-17..2026-07-17,2026-07-16,FNB App Payment To Credit Card,3000.00,Dr,Credit Card Payments,Credit card,
136,2026-06-17..2026-07-17,2026-07-17,FNB OB Coll Fnbinvest Xd3N58D14Q,2500.00,Dr,Savings & Investments,FNB Invest,
137,2026-07-17..2026-08-17,2026-07-18,PayShap ID Off-Us Lemon,50.00,Dr,Family Support,Transfer to person,
137,2026-07-17..2026-08-17,2026-07-18,Monthly account service fee,655.00,Dr,Bank Charges & Interest,Service fee,Fee increased from 625.00
137,2026-07-17..2026-08-17,2026-07-20,POS Purchase Yoco Wiki Candle,310.00,Dr,Shopping & Other,Retail,
137,2026-07-17..2026-08-17,2026-07-20,FNB App Payment To Credit Card,1000.00,Dr,Credit Card Payments,Credit card,
137,2026-07-17..2026-08-17,2026-07-20,PayShap Account Off-Us Claudia,650.00,Dr,Family Support,Transfer to person,
137,2026-07-17..2026-08-17,2026-07-21,FNB App Payment To Credit Card,1000.00,Dr,Credit Card Payments,Credit card,Account went into overdraft here
137,2026-07-17..2026-08-17,2026-07-22,Prepaid Electricity 09001505313,500.00,Dr,Home & Utilities,Electricity,
137,2026-07-17..2026-08-17,2026-07-23,POS Purchase Vredehoek Service Station,1376.55,Dr,Transport & Fuel,Fuel,
137,2026-07-17..2026-08-17,2026-07-24,POS Purchase Yoco Innovation,57.20,Dr,Groceries & Eating Out,Eating out,
137,2026-07-17..2026-08-17,2026-07-24,POS Purchase BK Rembrandt,104.90,Dr,Groceries & Eating Out,Eating out,
137,2026-07-17..2026-08-17,2026-07-24,FNB App Payment From Salary,70000.00,Cr,Income,Salary,
137,2026-07-17..2026-08-17,2026-07-24,FNB App Payment From Salary Reimbursement,9463.00,Cr,Income,Expense reimbursement,
137,2026-07-17..2026-08-17,2026-07-24,FNB App Transfer To Credit Card,5200.00,Dr,Credit Card Payments,Credit card,
137,2026-07-17..2026-08-17,2026-07-24,FNB App Payment To Justin Gordon,15280.00,Dr,Pass-through,Onward payment,Matched by the Christian Scribe credit the same day
137,2026-07-17..2026-08-17,2026-07-24,FNB App Transfer From Christian Scribe,15280.00,Cr,Pass-through,Money in,Matched by the outgoing payment the same day
137,2026-07-17..2026-08-17,2026-07-25,POS Purchase Payfast Stompies Br,1489.00,Dr,Groceries & Eating Out,Eating out / bar,
137,2026-07-17..2026-08-17,2026-07-25,DebiCheck FNB Connect 8872638615,579.00,Dr,Connectivity & Subscriptions,FNB Connect,
137,2026-07-17..2026-08-17,2026-07-25,Internal D/O FNB Life Fl105Gz98,4106.61,Dr,Insurance & Medical,FNB Life,
137,2026-07-17..2026-08-17,2026-07-25,Byc Debit 63026278118,1.35,Dr,Bank Charges & Interest,Misc bank debit,
137,2026-07-17..2026-08-17,2026-07-27,Scheduled Trf To Savings,9000.00,Dr,Savings & Investments,Savings transfer,
137,2026-07-17..2026-08-17,2026-07-29,POS Purchase Yoco SE Supermarket,60.00,Dr,Groceries & Eating Out,Groceries,
137,2026-07-17..2026-08-17,2026-07-31,Service Charges From 62724872339,103.50,Dr,Bank Charges & Interest,Linked acct charges,
137,2026-07-17..2026-08-17,2026-07-31,DebiCheck FNB Home 3000017271,69.00,Dr,Debt & Loans,Home loan admin fee,
137,2026-07-17..2026-08-17,2026-07-31,Internal D/O WesBank Vehicle Finance,5749.60,Dr,Debt & Loans,WesBank vehicle finance,
137,2026-07-17..2026-08-17,2026-07-31,Internal D/O FNB Structured Loan,21891.23,Dr,Debt & Loans,FNB Structured Loan,
137,2026-07-17..2026-08-17,2026-08-01,Fusion Interest Rebate,1.49,Cr,Bank Charges & Interest,Interest rebate,
137,2026-07-17..2026-08-17,2026-08-01,Hybrid Subscription Fee Connect Topup,145.00,Dr,Connectivity & Subscriptions,Connect top-up,
137,2026-07-17..2026-08-17,2026-08-01,DebiCheck FNB Connect 8858332521,499.00,Dr,Connectivity & Subscriptions,FNB Connect,
137,2026-07-17..2026-08-17,2026-08-01,DebiCheck FNB Connect 8858332324,749.00,Dr,Connectivity & Subscriptions,FNB Connect,
137,2026-07-17..2026-08-17,2026-08-01,Hybrid Subscription Fee Connect Topup,415.00,Dr,Connectivity & Subscriptions,Connect top-up,
137,2026-07-17..2026-08-17,2026-08-01,Internal D/O FNB Life Fl68Zw53,33.58,Dr,Insurance & Medical,FNB Life (small policy),
137,2026-07-17..2026-08-17,2026-08-01,Magtape Debit Stratum (Netcash),390.00,Dr,Connectivity & Subscriptions,Stratum,
137,2026-07-17..2026-08-17,2026-08-01,Magtape Debit RSAWEB (Netcash),1299.01,Dr,Connectivity & Subscriptions,RSAWEB fibre 1,
137,2026-07-17..2026-08-17,2026-08-01,Magtape Debit RSAWEB (Netcash),1728.00,Dr,Connectivity & Subscriptions,RSAWEB fibre 2,
137,2026-07-17..2026-08-17,2026-08-01,Magtape Debit Discovery Premium,7578.00,Dr,Insurance & Medical,Discovery premium,
137,2026-07-17..2026-08-17,2026-08-01,Magtape Debit Netstar,231.38,Dr,Insurance & Medical,Vehicle tracking,
137,2026-07-17..2026-08-17,2026-08-01,Magtape Debit JAC U260813622,3836.27,Dr,Insurance & Medical,JAC insurance,Insurance premium
137,2026-07-17..2026-08-17,2026-08-03,Magtape Debit Edgekloof Kl17057,399.00,Dr,Home & Utilities,Edgekloof levy,
137,2026-07-17..2026-08-17,2026-08-03,Magtape Debit FWT Ri-3830091,3006.22,Dr,Savings & Investments,EasyEquities TFSA,Tax-free savings account contribution
137,2026-07-17..2026-08-17,2026-08-04,POS Purchase Yoco Hoghouse Br,83.60,Dr,Groceries & Eating Out,Eating out,
137,2026-07-17..2026-08-17,2026-08-07,FNB App Transfer From August,10000.00,Cr,Pass-through,Money in,Immediately paid to the credit card
137,2026-07-17..2026-08-17,2026-08-07,FNB App Payment To Credit Card,10000.00,Dr,Credit Card Payments,Credit card,Funded by the transfer received the same day
137,2026-07-17..2026-08-17,2026-08-08,Airtime Topup 27745894636,189.00,Dr,Connectivity & Subscriptions,Airtime,
137,2026-07-17..2026-08-17,2026-08-08,Airtime Topup 27745894636,125.00,Dr,Connectivity & Subscriptions,Airtime,
137,2026-07-17..2026-08-17,2026-08-08,Byc Debit 63026278118,0.40,Dr,Bank Charges & Interest,Misc bank debit,
137,2026-07-17..2026-08-17,2026-08-11,POS Purchase Yoco SE Supermarket,84.00,Dr,Groceries & Eating Out,Groceries,
137,2026-07-17..2026-08-17,2026-08-17,FNB OB Coll Fnbinvest Xd3N58D14Q,2500.00,Dr,Savings & Investments,FNB Invest,
137,2026-07-17..2026-08-17,2026-08-17,Interest On Debit Balance,3.48,Dr,Bank Charges & Interest,Overdraft interest,
137,2026-07-17..2026-08-17,2026-08-17,Debit Interest Rebate,1.24,Cr,Bank Charges & Interest,Interest rebate,
137,2026-07-17..2026-08-17,2026-08-17,Other bank fee,35.00,Dr,Bank Charges & Interest,Other fee,
